子视分解	1
Qt环境	1
软开关	3
新进展	1
双椭球	1
牛顿迭代法	1
多普勒相位差组	1
碳化硅金属半导体场效应晶体管	1
时间间隔测量	1
十二五 规划	1
声光器件	2
测试次数	1
高功率密度	2
同轴传输线	1
电容阵列	2
尺度不变特征变换	1
垂直布里奇曼法	1
多层卫星网络	1
黑白格模板	1
结构加固	1
偏振消光比	1
定域性	1
光纤通信	3
调制器	1
列车	1
双冗余	1
闪烁晶体	1
对象请求代理	1
数字矢量调制器	1
XC886单片机	1
频率合成器	2
本原多项式	1
信道化接收机	2
导通电阻	2
电磁仿真	1
MARG 传感器	1
倒梯形通孔	1
带宽利用率	1
航空摄影	1
主动反射面	1
差谱法	1
数据共享	1
频率稳定	1
反射栅	1
液压机械臂	1
领域词典构建	1
光衰	1
同构图	1
CPCI总线	3
气体质量流量传感器	1
光轴一致性	1
盲识别	1
存储分配策略	1
图模型	1
小型化	14
热载流子注入	1
孔隙结构	1
干扰近似法	1
氧化锌薄膜	1
遮挡	2
超低延时	1
图像重构	1
降低表面电场	1
光纤声光移频器	2
仪表驱动	1
低压差线性稳压器	3
原子力显微镜(AFM)	2
低轨道应用	1
轴齿轮	1
时差定位	1
梳状	1
压力脉动	1
电压-电流转换器	1
增益平坦度	1
电子封装	3
超声检测	1
退火	2
设计优化	1
声学	2
风险量化	1
姿态补偿	1
速度测量	1
捷联惯导系统	3
时间同步	2
纯牛奶	1
Mg-Zn-Mn镁合金	1
推-推式压控搌荡器	1
多目标优化	3
中频磁控溅射	1
矢量修正	1
时钟同步	1
动态控制指针	1
光学扫描	1
多人签名	1
压缩式	1
多天线系统	1
位错排	1
入侵检测系统	1
弹道跟踪	1
分凝	1
潜在应变能	1
静态超标量	1
单刀四掷(SP4T)	1
能谱分析	1
热载流子效应	1
浆料稳定性	1
检测窗口	1
大间距	2
多直方图	1
四倍频器	1
缝隙耦合	1
冗余备份	1
数模转换器	2
固态发射技术	1
表面处理	1
数字信号处理器目标板	1
驻波比	1
动态参数测试	2
形变	1
网络处理器	2
混合核	1
全光模数转换	1
逐次逼近	1
晶须	1
全三维工艺规程卡	1
步进频率信号	1
均匀化	1
冷却系统	1
控制字符	1
高次倍频	1
射频识别	2
双极型晶体管	1
宽禁带半导体	1
水下激光通信	1
轻负载	1
累计均方误差	1
极化SAR图像滤波	1
栅格	1
数模混合	1
与电路	1
刻蚀倾角	1
平坦度	1
固化条件	1
Nd∶YAG 晶体	1
Maxwell方程组	1
多信道同时监测	1
中红外传能光纤	1
反设计方法	1
安全定位	1
掩蔽膜	1
流量均衡	1
主-从服务器	1
共形天线	1
波纹喇叭	2
传输线脉冲测试	1
区域分割	1
半球谐振陀螺仪	2
空间数据系统咨询委员会(CCSDS)	1
可测试性	2
冲突避免	1
飞行剖面	1
波束对消器	1
可靠寿命	1
压力容器	1
排队论	1
热导率	1
氧分压	1
Ku 波段	1
分划板	1
方向图	1
宽带增透膜	1
离散事件仿真	1
数字中频接收机	1
分布式编码	1
雷达探测	1
调制非线性	1
析晶动力学	1
阵元间距	1
有源光纤	2
多点曲率补偿	1
红外测温	1
钽电容储能	1
冷凝器	3
接触电阻	1
大型、超大型阵列	1
热备份	1
L_p衰减	1
自适应预失真技术	1
掉电保护	1
角点	1
乙二胺	1
环比分析	1
反馈补偿	1
应力释放	1
氮化硅	1
工艺	1
湖相碳酸盐岩	1
UIA技术	1
人员定位	1
切割	2
预处理	1
多通道接收机	1
紫外	1
电容去耦	1
结构设计	2
激光二极管	3
信息共享	1
重力梯度	1
功耗	1
限幅器	1
变形镜	1
任意波形发生	1
控制器	2
单光子雪崩二极管	1
波形开发	1
反射高度	1
泊松方程	1
预编码	1
纠删码	1
计算机辅助工艺设计	2
态势可视化	1
单模	1
深亚微米器件	1
转换	1
颗粒度	1
标准T_2谱法	1
过渡区	1
电阻率	2
声表面波(SAW)	1
横向磁通	1
分布式光纤温度传感器	2
(002)向	1
全息成像	1
模板	1
寿命模型	1
脉宽调制	3
大功率	10
嵌入式系统	4
随机有限元	1
聚合物波导	1
可调速仿真	1
